id_voo,numero_voo,data_voo,ano,mes,mes_nome,ano_mes,dia_semana,origem_cidade,origem_iata,origem_uf,origem_regiao,origem_lat,origem_lon,destino_cidade,destino_iata,destino_uf,destino_regiao,destino_lat,destino_lon,rota,distancia_km,tipo_aeronave,capacidade_aeronave,passageiros,taxa_ocupacao,preco_medio_passagem,receita_voo,custo_voo,lucro_voo,atraso_minutos,situacao_voo,motivo_atraso_cancelamento,duracao_minutos,satisfacao_passageiros
V100001,VX5942,2024-09-01,2024,9,Setembro,2024-09,Domingo,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,VCP - FLN,538,ATR 72-600,70,55,0.7857,270.1400,14857.7000,13764.1100,1093.5900,4.0000,Pontual,Sem intercorrência,77,4.0000
V100002,VX7370,2024-09-01,2024,9,Setembro,2024-09,Domingo,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,VCP - NAT,2294,Airbus A320neo,180,133,0.7389,429.2500,57090.2500,65049.0700,-7958.8200,21.0000,Atrasado,Congestionamento do aeroporto,195,4.7000
V100003,VX3438,2024-09-01,2024,9,Setembro,2024-09,Domingo,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,ATR 72-600,70,70,1.0000,178.4900,12494.3000,11957.9500,536.3500,35.0000,Atrasado,Congestionamento do aeroporto,58,3.9000
V100004,VX8667,2024-09-01,2024,9,Setembro,2024-09,Domingo,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,POA - BSB,1605,Airbus A320neo,180,175,0.9722,365.4200,63948.5000,52767.3100,11181.1900,5.0000,Pontual,Sem intercorrência,148,3.6000
V100005,VX5636,2024-09-01,2024,9,Setembro,2024-09,Domingo,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,SDU - CNF,374,Airbus A320neo,180,177,0.9833,245.3500,43426.9500,25083.6500,18343.3000,10.0000,Pontual,Sem intercorrência,50,5.0000
V100006,VX8641,2024-09-01,2024,9,Setembro,2024-09,Domingo,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CNF - SDU,374,Boeing 737-800,186,142,0.7634,191.1200,27139.0400,29942.5700,-2803.5300,3.0000,Pontual,Sem intercorrência,55,3.9000
V100007,VX4775,2024-09-02,2024,9,Setembro,2024-09,Segunda,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,BSB - GRU,855,Airbus A321neo,220,192,0.8727,323.9400,62196.4800,41121.7700,21074.7100,0.0000,Pontual,Sem intercorrência,89,3.9000
V100008,VX5643,2024-09-02,2024,9,Setembro,2024-09,Segunda,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,GRU - BSB,855,Embraer E195-E2,136,96,0.7059,291.8900,28021.4400,27022.5500,998.8900,8.0000,Pontual,Sem intercorrência,87,4.7000
V100009,VX5230,2024-09-02,2024,9,Setembro,2024-09,Segunda,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,GRU - CNF,496,ATR 72-600,70,51,0.7286,226.1300,11532.6300,12832.3900,-1299.7600,7.0000,Pontual,Sem intercorrência,69,4.0000
V100010,VX7378,2024-09-02,2024,9,Setembro,2024-09,Segunda,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,Porto Alegre,POA,RS,Sul,-29.9939,-51.1711,SDU - POA,1120,Airbus A320neo,180,133,0.7389,268.7600,35745.0800,44461.9800,-8716.9000,75.0000,Atrasado,Congestionamento do aeroporto,110,3.8000
V100011,VX5206,2024-09-02,2024,9,Setembro,2024-09,Segunda,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,BSB - SDU,928,Boeing 737-800,186,152,0.8172,293.9600,44681.9200,37874.2400,6807.6800,0.0000,Pontual,Sem intercorrência,92,3.7000
V100012,VX5291,2024-09-02,2024,9,Setembro,2024-09,Segunda,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Belém,BEL,PA,Norte,-1.3792,-48.4763,GIG - BEL,2449,Boeing 737-800,186,159,0.8548,478.5000,76081.5000,76206.7100,-125.2100,9.0000,Pontual,Sem intercorrência,207,4.5000
V100013,VX7857,2024-09-03,2024,9,Setembro,2024-09,Terça,Manaus,MAO,AM,Norte,-3.0386,-60.0497,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,MAO - CGH,2704,Boeing 787-9,296,220,0.7432,572.6800,125989.6000,130371.9200,-4382.3200,6.0000,Pontual,Sem intercorrência,213,3.8000
V100014,VX3214,2024-09-04,2024,9,Setembro,2024-09,Quarta,Salvador,SSA,BA,Nordeste,-12.9086,-38.3225,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,SSA - BSB,1085,Boeing 737-800,186,127,0.6828,300.1200,38115.2400,49118.2300,-11002.9900,41.0000,Atrasado,Manutenção técnica,109,3.4000
V100015,VX6836,2024-09-04,2024,9,Setembro,2024-09,Quarta,Natal,NAT,RN,Nordeste,-5.7681,-35.3762,Recife,REC,PE,Nordeste,-8.1264,-34.9236,NAT - REC,267,ATR 72-600,70,65,0.9286,166.1200,10797.8000,14369.7000,-3571.9000,4.0000,Pontual,Sem intercorrência,62,4.1000
V100016,VX8054,2024-09-04,2024,9,Setembro,2024-09,Quarta,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,BSB - VCP,798,Airbus A320neo,180,130,0.7222,225.5400,29320.2000,37208.3600,-7888.1600,4.0000,Pontual,Sem intercorrência,95,3.3000
V100017,VX9164,2024-09-04,2024,9,Setembro,2024-09,Quarta,Fortaleza,FOR,CE,Nordeste,-3.7763,-38.5326,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,FOR - CGH,2373,Airbus A321neo,220,150,0.6818,481.7200,72258.0000,65522.8400,6735.1600,12.0000,Pontual,Sem intercorrência,190,3.7000
V100018,VX6984,2024-09-04,2024,9,Setembro,2024-09,Quarta,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,Campinas,VCP,SP,Sudeste,-23.0074,-47.1345,BSB - VCP,798,Boeing 737-800,186,123,0.6613,309.6600,38088.1800,37100.8100,987.3700,5.0000,Pontual,Sem intercorrência,79,4.3000
V100019,VX9371,2024-09-04,2024,9,Setembro,2024-09,Quarta,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,CGH - GIG,360,ATR 72-600,70,57,0.8143,169.6600,9670.6200,13031.8100,-3361.1900,0.0000,Pontual,Sem intercorrência,59,4.4000
V100020,VX7332,2024-09-04,2024,9,Setembro,2024-09,Quarta,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CGH - SDU,366,ATR 72-600,70,60,0.8571,139.1700,8350.2000,12025.4900,-3675.2900,62.0000,Atrasado,Documentação/embarque de passageiros,54,3.7000
V100021,VX6289,2024-09-04,2024,9,Setembro,2024-09,Quarta,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,GIG - CNF,361,Airbus A320neo,180,134,0.7444,167.2900,22416.8600,29900.7600,-7483.9000,0.0000,Pontual,Sem intercorrência,59,4.6000
V100022,VX7090,2024-09-04,2024,9,Setembro,2024-09,Quarta,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,Belo Horizonte,CNF,MG,Sudeste,-19.6336,-43.9686,GIG - CNF,361,Embraer E195-E2,136,103,0.7574,229.2900,23616.8700,20602.8300,3014.0400,1.0000,Pontual,Sem intercorrência,61,4.4000
V100023,VX2736,2024-09-05,2024,9,Setembro,2024-09,Quinta,Florianópolis,FLN,SC,Sul,-27.6705,-48.5477,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,FLN - SDU,757,Airbus A320neo,180,111,0.6167,260.3600,28899.9600,27750.7000,1149.2600,0.0000,Pontual,Sem intercorrência,71,5.0000
V100024,VX8863,2024-09-05,2024,9,Setembro,2024-09,Quinta,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,CGH - CWB,331,Boeing 737-800,186,134,0.7204,173.6600,23270.4400,24809.0000,-1538.5600,3.0000,Pontual,Sem intercorrência,44,3.9000
V100025,VX1395,2024-09-05,2024,9,Setembro,2024-09,Quinta,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CGH - SDU,366,Embraer E195-E2,136,113,0.8309,188.6300,21315.1900,20399.3500,915.8400,3.0000,Pontual,Sem intercorrência,52,4.8000
V100026,VX2853,2024-09-05,2024,9,Setembro,2024-09,Quinta,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,GRU - SDU,343,ATR 72-600,70,70,1.0000,202.8900,14202.3000,12692.2900,1510.0100,51.0000,Atrasado,Restrição de tráfego aéreo,60,3.9000
V100027,VX6529,2024-09-05,2024,9,Setembro,2024-09,Quinta,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,BSB - CGH,873,Airbus A320neo,180,134,0.7444,254.9800,34167.3200,39982.5700,-5815.2500,1.0000,Pontual,Sem intercorrência,94,3.7000
V100028,VX2385,2024-09-05,2024,9,Setembro,2024-09,Quinta,Goiânia,GYN,GO,Centro-Oeste,-16.6320,-49.2207,Maceió,MCZ,AL,Nordeste,-9.5108,-35.7917,GYN - MCZ,1655,Airbus A320neo,180,142,0.7889,406.3700,57704.5400,52178.8200,5525.7200,5.0000,Pontual,Sem intercorrência,146,3.6000
V100029,VX7553,2024-09-06,2024,9,Setembro,2024-09,Sexta,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,SDU - CGH,366,Embraer E195-E2,136,120,0.8824,209.2400,25108.8000,24651.2700,457.5300,4.0000,Pontual,Sem intercorrência,64,4.5000
V100030,VX6325,2024-09-06,2024,9,Setembro,2024-09,Sexta,São Paulo,CGH,SP,Sudeste,-23.6266,-46.6554,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,CGH - SDU,366,ATR 72-600,70,65,0.9286,220.1800,14311.7000,11726.0100,2585.6900,39.0000,Atrasado,Atraso da aeronave anterior,45,4.0000
V100031,VX2243,2024-09-06,2024,9,Setembro,2024-09,Sexta,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,Cuiabá,CGB,MT,Centro-Oeste,-15.6529,-56.1167,CWB - CGB,1314,Embraer E195-E2,136,127,0.9338,376.1500,47771.0500,32810.5600,14960.4900,8.0000,Pontual,Sem intercorrência,120,4.2000
V100032,VX7601,2024-09-06,2024,9,Setembro,2024-09,Sexta,Recife,REC,PE,Nordeste,-8.1264,-34.9236,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,REC - SDU,1864,Embraer E195-E2,136,89,0.6544,425.1000,37833.9000,50313.0500,-12479.1500,1.0000,Pontual,Sem intercorrência,162,4.3000
V100033,VX5875,2024-09-06,2024,9,Setembro,2024-09,Sexta,Recife,REC,PE,Nordeste,-8.1264,-34.9236,Cuiabá,CGB,MT,Centro-Oeste,-15.6529,-56.1167,REC - CGB,2451,Embraer E195-E2,136,107,0.7868,477.0800,51047.5600,57501.4600,-6453.9000,4.0000,Pontual,Sem intercorrência,205,3.4000
V100034,VX3950,2024-09-06,2024,9,Setembro,2024-09,Sexta,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,Brasília,BSB,DF,Centro-Oeste,-15.8697,-47.9208,SDU - BSB,928,Airbus A320neo,180,124,0.6889,314.8600,39042.6400,30549.2500,8493.3900,0.0000,Pontual,Sem intercorrência,87,3.9000
V100035,VX2878,2024-09-06,2024,9,Setembro,2024-09,Sexta,Rio de Janeiro,SDU,RJ,Sudeste,-22.9105,-43.1631,Recife,REC,PE,Nordeste,-8.1264,-34.9236,SDU - REC,1864,Boeing 737-800,186,113,0.6075,444.6700,50247.7100,62506.4000,-12258.6900,6.0000,Pontual,Sem intercorrência,158,3.5000
V100036,VX8893,2024-09-06,2024,9,Setembro,2024-09,Sexta,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,GRU - CWB,359,Boeing 737-800,186,126,0.6774,224.0900,28235.3400,25552.8100,2682.5300,2.0000,Pontual,Sem intercorrência,59,3.7000
V100037,VX4500,2024-09-06,2024,9,Setembro,2024-09,Sexta,Cuiabá,CGB,MT,Centro-Oeste,-15.6529,-56.1167,Curitiba,CWB,PR,Sul,-25.5285,-49.1758,CGB - CWB,1314,Boeing 737-800,186,163,0.8763,336.1100,54785.9300,56181.1200,-1395.1900,9.0000,Pontual,Sem intercorrência,127,4.2000
V100038,VX4386,2024-09-07,2024,9,Setembro,2024-09,Sábado,Rio de Janeiro,GIG,RJ,Sudeste,-22.8090,-43.2506,São Paulo,GRU,SP,Sudeste,-23.4356,-46.4731,GIG - GRU,337,Embraer E195-E2,136,117,0.8603,188.1000,22007.7000,22133.3000,-125.6000,0.0000,Pontual,Sem intercorrência,58,4.6000
